"Players Explorer view","Overview","EPM / Role / Scoring / Shooting / Rebounding / Handle / Defense","free","","The default table — role, impact, scoring, shooting and the box score in one screen"
"Players Explorer view","Traditional Boxscore","Time / Scoring / Rebounding / Playmaking / Defense","free","","Season totals and per-40 rates for every counting stat"
"Players Explorer view","Traditional Shooting","Volume / Field goals / Twos / Threes / Free throws / Efficiency","free","","Makes, attempts and percentages from every distance"
"Players Explorer view","Scoring Context","Scoring / Paint / Second chance / Transition","preview (top 5, no re-sort)","","Where the points came from — paint, second chance and transition"
"Players Explorer view","Offensive Stats","Load / Creation / Efficiency / Shot mix","free","","Usage, creation and efficiency, plus the points his passing produced"
"Players Explorer view","Defensive Stats","Events / Rates / Rebounding / Cost","free","","Steal and block rates against the possessions he was actually on the floor for"
"Players Explorer view","Foul Related","Committed / Worth it? / Technicals","free","","Fouls committed, and whether the disruption was worth the cost"
"Players Explorer view","All-In-One Stats","EPM / Parts / Value / Rating","free","","EPM and its parts — the site's own all-in-one numbers"
"Players Explorer view","Double/Triple-Doubles","Doubles / Twenty and ten / Across the board / Season","free","","How often he filled the box score — doubles, triples and the 5×5"
"Players Explorer view","Single-Game Leaders","Led his team / Led the game / Defense","free","","Games he led his team, or everyone on the floor, in a category"
"Players Explorer view","Player Info","Who / Playing time / Outcome / Draft","free","","Age, height, draft position and how much he actually played"
"Players Explorer view","Select Your Own Columns","reader's own columns","capped at 3 columns","","Start empty and add only the stats you want"
"Team page tab","overview","Ratings, four factors, the season at a glance","free","","Prerendered at build time — a gate here would take the page out of Google."
"Team page tab","schedule","Every game, result and quality","free","","Prerendered at build time — a gate here would take the page out of Google."
"Team page tab","roster","Who played, and how much","free","","Prerendered at build time — a gate here would take the page out of Google."
"Team page tab","shooting","Shot profile and splits","free","","Prerendered at build time — a gate here would take the page out of Google."
"Team page tab","lineups","Every five-man unit, from stint data","paid","","Open to everyone for vanderbilt and saint-louis as a worked example. Prerendered into the HTML, so this gate is visible in view-source."
"Team page tab","onoff","On/off splits, from stint data","paid","","Open to everyone for vanderbilt and saint-louis as a worked example. Prerendered into the HTML, so this gate is visible in view-source."
"Download","CSV of the current view","","free on players, gated on teams","","Raw values, nothing rounded."
"Download","Excel Workbook of the current view","","free on players, gated on teams","","Formatted, percentile colours, a sheet describing the export."
"Download","Excel - Select Views (multi-tab)","","free on players, gated on teams","","One tab per view. The most obviously paid-shaped thing in the menu."
"Download","Sample workbook","","free","","Runs the same code as the paid export on a fixed slice. The pitch, not a limit."
"Explorer","Compare (teams)","","free","","Hidden on players for now by decision."
"Explorer","Saved filter views","","capped at 3","","Stored in the browser, not on the account."
"Player page","Shot chart","","free","","Zones and rates, 2014 onward."
"Player page","Game log / box scores","","free","",""
"Site","Coaches (812 pages)","","free","",""
"Site","Transfer portal / recruits / draftees","","free","",""
"Site","/calc archive calculator","","gated","","Already behind the archive gate."
"Site","/32-0 game","","free","",""
